IP地址,端口号,网络延迟,扫描方式,下载速度,数据中心,落地区域,地区,城市
162.159.25.176,443,69ms,TCPing,46.64MB/s,SIN,SG,Asia Pacific,Singapore
162.159.3.96,443,69ms,TCPing,46.28MB/s,SIN,SG,Asia Pacific,Singapore
172.64.33.197,443,72ms,TCPing,43.42MB/s,SIN,SG,Asia Pacific,Singapore
104.18.33.187,443,72ms,TCPing,42.36MB/s,SIN,SG,Asia Pacific,Singapore
8.39.125.14,443,70ms,TCPing,39.24MB/s,SIN,SG,Asia Pacific,Singapore
162.159.8.251,443,71ms,TCPing,34.97MB/s,SIN,SG,Asia Pacific,Singapore
104.18.36.13,443,70ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.32.33,443,70ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.33.42,443,70ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.43.38,443,70ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.6.104,443,70ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.61.88,443,70ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.45.193,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.0.163,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.20.227,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.22.83,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.41.252,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.144.95,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.145.38,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.148.178,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.150.144,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.41.93,443,71ms,TCPing,,SIN,SG,Asia Pacific,Singapore
108.162.192.135,443,72ms,TCPing,,SIN,SG,Asia Pacific,Singapore
108.162.193.238,443,72ms,TCPing,,SIN,SG,Asia Pacific,Singapore
108.162.194.43,443,72ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.14.24,443,72ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.2.18,443,72ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.5.104,443,72ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.158.244,443,72ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.41.175,443,73ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.4.227,443,73ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.46.177,443,73ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.9.211,443,73ms,TCPing,,SIN,SG,Asia Pacific,Singapore
198.41.222.89,443,73ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.40.30,443,74ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.47.250,443,74ms,TCPing,,SIN,SG,Asia Pacific,Singapore
108.162.195.73,443,74ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.7.91,443,74ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.151.44,443,74ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.152.189,443,74ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.11.154,443,75ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.13.91,443,75ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.157.138,443,75ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.39.25,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
108.162.196.242,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.23.228,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.34.113,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.149.250,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.34.20,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.35.11,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.43.201,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
198.41.211.186,443,76ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.37.76,443,77ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.42.243,443,77ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.21.10,443,77ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.27.114,443,77ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.49.178,443,77ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.156.248,443,77ms,TCPing,,SIN,SG,Asia Pacific,Singapore
198.41.223.190,443,77ms,TCPing,,SIN,SG,Asia Pacific,Singapore
